 80万,  单价9001元/平米,  高楼层(共11层)2012年建塔楼 - 阳逻,  保利圆梦城金玉苑 | 3室2厅 | 88.88平米 | 南 | 其他 | 有电梯,  5人关注 / 共1次带看 / 30天以前发布
 175万,  单价12345元/平米,  中楼层(共11层)2004年建板楼 - 三环南,  光谷阳光海岸 | 3室2厅 | 141.76平米 | 南 北 | 毛坯 | 有电梯,  2人关注 / 共2次带看 / 28天以前发布
 135万,  单价11516元/平米,  低楼层(共11层)2004年建板楼 - 盘龙城,  名流人和天地三期 | 3室2厅 | 117.23平米 | 南 | 简装 | 有电梯,  1人关注 / 共0次带看 / 28天以前发布
 106万,  单价18305元/平米,  中楼层(共8层)1995年建板楼 - 中南丁字桥,  荣泰小区 | 2室1厅 | 57.91平米 | 南 | 简装,  108人关注 / 共8次带看 / 10个月以前发布
 298万,  单价31706元/平米,  中楼层(共33层)2007年建塔楼 - 积玉桥,  华润置地凤凰城 | 2室2厅 | 93.99平米 | 南 | 其他 | 有电梯,  36人关注 / 共6次带看 / 9个月以前发布
 145万,  单价14130元/平米,  低楼层(共32层)2011年建板塔结合 - 金银湖,  金地格林春岸 | 3室2厅 | 102.62平米 | 南 北 | 其他 | 有电梯,  28人关注 / 共4次带看 / 9个月以前发布
 290万,  单价23062元/平米,  低楼层(共19层)2007年建塔楼 - 二七,  东立国际 | 5室1厅 | 125.75平米 | 南 北 | 其他 | 有电梯,  15人关注 / 共0次带看 / 9个月以前发布
 83万,  单价18135元/平米,  低楼层(共28层)2004年建塔楼 - 武广万松园,  圣淘沙酒店式公寓 | 1室1厅 | 45.77平米 | 南 | 其他 | 有电梯,  24人关注 / 共10次带看 / 9个月以前发布
 118万,  单价14136元/平米,  中楼层(共8层)1992年建板楼 - 杨汊湖,  常青二垸 | 3室1厅 | 83.48平米 | 南 | 其他 | 无电梯,  2人关注 / 共2次带看 / 20天以前发布
 200万,  单价22364元/平米,  高楼层(共33层)2013年建板楼 - 南湖沃尔玛,  武昌府二期 | 2室2厅 | 89.43平米 | 南 | 其他 | 有电梯,  0人关注 / 共3次带看 / 19天以前发布
 175万,  单价16623元/平米,  低楼层(共7层)2002年建塔楼 - 关西长职,  关西小区 | 2室2厅 | 105.28平米 | 南 北 | 简装 | 无电梯,  0人关注 / 共0次带看 / 18天以前发布
 150万,  单价13256元/平米,  低楼层(共28层)2013年建板楼 - 文化大道,  联投龙湾二期 | 3室2厅 | 113.16平米 | 南 北 | 其他,  1人关注 / 共2次带看 / 16天以前发布
 68万,  单价14668元/平米,  高楼层(共5层)2003年建板楼 - 金银湖,  黄金海岸 | 1室1厅 | 46.36平米 | 南 | 简装 | 无电梯,  6人关注 / 共4次带看 / 15天以前发布
 136万,  单价24987元/平米,  中楼层(共29层)2012年建板楼 - 虎泉杨家湾,  保利华都 | 1室1厅 | 54.43平米 | 南 | 精装 | 有电梯,  5人关注 / 共6次带看 / 15天以前发布
 260万,  单价21940元/平米,  低楼层(共6层)2004年建板楼 - 民族大道,  阳光在线一期 | 3室2厅 | 118.51平米 | 南 北 | 精装 | 无电梯,  1人关注 / 共1次带看 / 4个月以前发布
 180万,  单价14797元/平米,  中楼层(共18层)2015年建板楼 - 文化大道,  联投龙湾一期 | 3室2厅 | 121.65平米 | 南 北 | 精装,  10人关注 / 共2次带看 / 4个月以前发布
 240万,  单价30601元/平米,  高楼层(共30层)2011年建板楼 - 大智路,  大智嘉园 | 2室2厅 | 78.43平米 | 东南 | 其他 | 有电梯,  4人关注 / 共3次带看 / 4个月以前发布
 278万,  单价23079元/平米,  中楼层(共23层)2005年建板楼 - 武昌火车站,  武昌城市公园 | 3室2厅 | 120.46平米 | 南 北 | 精装 | 有电梯,  1人关注 / 共1次带看 / 3个月以前发布
 230万,  单价25250元/平米,  中楼层(共29层)2012年建板楼 - 虎泉杨家湾,  保利华都 | 2室2厅 | 91.09平米 | 南 | 精装 | 有电梯,  11人关注 / 共3次带看 / 3个月以前发布
 170万,  单价18791元/平米,  低楼层(共15层)2010年建板楼 - 珞狮南路,  泰然南湖玫瑰湾二期 | 2室2厅 | 90.47平米 | 东南 | 简装 | 有电梯,  5人关注 / 共6次带看 / 3个月以前发布
 198万,  单价23519元/平米,  高楼层(共28层)2011年建板楼 - 团结大道,  爱家皇家公馆 | 2室1厅 | 84.19平米 | 南 北 | 其他 | 有电梯,  10人关注 / 共10次带看 / 3个月以前发布
 93万,  单价25798元/平米,  中楼层(共21层)2004年建板楼 - 关山大道,  卧龙剑桥春天 | 1室0厅 | 36.05平米 | 东 | 其他 | 有电梯,  21人关注 / 共7次带看 / 3个月以前发布
 248万,  单价24796元/平米,  中楼层(共32层)2012年建板楼 - 西北湖,  葛洲坝国际广场(江汉) | 2室1厅 | 100.02平米 | 南 北 | 其他 | 有电梯,  5人关注 / 共5次带看 / 3个月以前发布
 186万,  单价22391元/平米,  低楼层(共17层)2009年建塔楼 - 武昌火车站,  静安上城 | 2室2厅 | 83.07平米 | 南 北 | 简装 | 有电梯,  20人关注 / 共8次带看 / 3个月以前发布
 145万,  单价17926元/平米,  高楼层(共18层)2014年建板塔结合 - 珞狮南路,  保利心语九期 | 2室2厅 | 80.89平米 | 南 | 精装 | 有电梯,  104人关注 / 共11次带看 / 3个月以前发布
 115万,  单价22035元/平米,  高楼层(共31层)2006年建板楼 - 大智路,  兰陵大公馆 | 1室1厅 | 52.19平米 | 东南 西 | 其他 | 有电梯,  8人关注 / 共19次带看 / 3个月以前发布
 900万,  单价45688元/平米,  低楼层(共1层)2009年建板楼 - 新南湖,  大华南湖公园世家二期 | 5室2厅 | 196.99平米 | 东南 | 精装 | 无电梯,  7人关注 / 共2次带看 / 8个月以前发布
 190万,  单价20339元/平米,  中楼层(共30层)2009年建板楼 - 唐家墩,  顶琇晶城 | 2室2厅 | 93.42平米 | 东南 | 其他 | 有电梯,  20人关注 / 共3次带看 / 8个月以前发布
 185万,  单价21884元/平米,  中楼层(共8层)2007年建板楼 - 金银湖,  沿海丽水佳园 | 3室2厅 | 84.54平米 | 南 北 | 精装 | 有电梯,  29人关注 / 共2次带看 / 8个月以前发布
 250万,  单价17213元/平米,  低楼层(共7层)2002年建板楼 - 光谷广场,  光谷智慧城 | 3室2厅 | 145.24平米 | 南 北 | 其他 | 无电梯,  13人关注 / 共4次带看 / 7个月以前发布
 395万,  单价26566元/平米,  高楼层(共33层)2013年建板楼 - 后湖,  晋合金桥世家 | 3室1厅 | 148.69平米 | 南 北 | 其他 | 有电梯,  10人关注 / 共1次带看 / 7个月以前发布
 200万,  单价21409元/平米,  中楼层(共22层)2013年建板楼 - 金融港,  佛奥俊贤雅居 | 3室2厅 | 93.42平米 | 南 | 其他 | 有电梯,  2人关注 / 共0次带看 / 26天以前发布
 110万,  单价13096元/平米,  低楼层(共33层)2014年建板楼 - 吴家山,  八方明珠 | 3室2厅 | 84平米 | 东 东南 南 | 其他 | 有电梯,  8人关注 / 共0次带看 / 26天以前发布
 295万,  单价21997元/平米,  高楼层(共18层)2008年建塔楼 - 民族大道,  紫菘枫林上城 | 3室2厅 | 134.11平米 | 南 北 | 精装 | 有电梯,  1人关注 / 共0次带看 / 24天以前发布
 100万,  单价12136元/平米,  高楼层(共16层)2013年建板楼 - 盘龙城,  万润橄榄城 | 3室2厅 | 82.4平米 | 南 | 其他 | 有电梯,  12人关注 / 共16次带看 / 24天以前发布
 230万,  单价21067元/平米,  低楼层(共25层)塔楼 - 白沙洲,  佳兆业金域天下二期 | 3室2厅 | 109.18平米 | 南 北 | 精装,  1人关注 / 共0次带看 / 22天以前发布
 120万,  单价16056元/平米,  高楼层(共6层)1996年建板楼 - 常青花园,  常青花园第一社区 | 2室1厅 | 74.74平米 | 南 北 | 其他 | 无电梯,  7人关注 / 共3次带看 / 22天以前发布
 215万,  单价24391元/平米,  低楼层(共18层)2016年建塔楼 - 杨园,  美林青城二期 | 2室2厅 | 88.15平米 | 南 | 毛坯 | 有电梯,  4人关注 / 共5次带看 / 8个月以前发布
 132万,  单价19134元/平米,  低楼层(共24层)2014年建板楼 - 珞狮南路,  保利心语六期 | 2室2厅 | 68.99平米 | 南 | 其他 | 有电梯,  93人关注 / 共7次带看 / 8个月以前发布
 145万,  单价17061元/平米,  高楼层(共18层)2008年建塔楼 - 百步亭,  景兰苑 | 2室2厅 | 84.99平米 | 南 | 简装 | 有电梯,  27人关注 / 共5次带看 / 8个月以前发布
 185万,  单价22908元/平米,  中楼层(共48层)2016年建板塔结合 - 后湖,  金岛御璟世家 | 2室2厅 | 80.76平米 | 东南 | 其他 | 有电梯,  6人关注 / 共3次带看 / 8个月以前发布
 230万,  单价26054元/平米,  高楼层(共18层)2012年建板楼 - 虎泉杨家湾,  保利华都 | 2室1厅 | 88.28平米 | 南 | 简装 | 有电梯,  12人关注 / 共8次带看 / 8个月以前发布
 155万,  单价19593元/平米,  低楼层(共45层)2013年建板楼 - 长港路,  福星城南区 | 2室1厅 | 79.11平米 | 南 | 其他 | 有电梯,  38人关注 / 共8次带看 / 7个月以前发布
 150万,  单价14706元/平米,  高楼层(共32层)2011年建板塔结合 - 金银湖,  金地格林春岸 | 3室2厅 | 102平米 | 南 北 | 其他 | 有电梯,  2人关注 / 共1次带看 / 15天以前发布
 152万,  单价17758元/平米,  高楼层(共6层)2000年建板楼 - 常青花园,  常青花园四小区 | 2室2厅 | 85.6平米 | 南 北 | 其他 | 无电梯,  3人关注 / 共3次带看 / 13天以前发布
